"CCA1"	"CCA2"
"GRIK4"	0.21239895897983	0.00443411589412305
"GRIK5"	0.258947936665949	0.0451603051228281
"GRIN1"	0.357684199713272	0.0300813687872681
"GRIN2A"	0.212975386658853	0.0699807256422385
"GRIN2B"	0.223361574699076	0.0689734851682155
"GRM1"	0.334147490017809	0.110443407138652
"GRM2"	0.243009962032281	0.079963748691936
"GRM3"	0.335271712094076	0.0697865078912844
"GRM4"	0.322728771730269	0.101318404362337
"GRM5"	0.241173003056199	0.090094968346421
"GRM7"	0.23435916924263	0.0373954860494263
"GRM8"	0.204566934684479	0.0585208309269962
"HAP1"	0.350855631051928	0.0463006652087687
"HAPLN2"	0.26058065375767	0.0858533274815827
"HCN1"	0.243051825220367	0.0716907706268718
"HCN2"	0.257721671469379	0.0544669346109879
"HECW1"	0.223136857301044	-0.00644711840345676
"HEPACAM"	0.377469340288466	0.105445418729368
"HPCAL4"	0.24830882596254	0.0811294255110612
"HRH3"	0.249079216728814	0.0523463069043198
"HS3ST4"	0.262668787727861	0.0792748507496838
"HTR2C"	0.216888712509205	0.0777865401647155
"HTR5A"	0.205722508317143	0.0634157313100467
"HYDIN"	0.250752777698645	-0.0718449913764514
"IGLON5"	0.211874087233002	0.0189805651245792
"IGSF1"	0.278198639165709	0.0765024905624315
"IGSF21"	0.280565080328505	0.0893702432328825
"IGSF9B"	0.262267926477012	0.0346121055467887
"INSYN1"	0.295719763456146	0.131376272799455
"IQSEC3"	0.33154243758124	0.0865569558813184
"ISLR2"	0.205285364389466	0.0405093295643138
"JAKMIP2"	0.305050879747296	0.0596809059458144
"JAKMIP3"	0.209376718964321	0.091145157374313
"JPH1"	0.224987006042746	0.0141081445326827
"JPH3"	0.376887139387865	0.105566703917968
"JPH4"	0.375974014502632	0.0830468218067219
"KCNA1"	0.319633503336838	0.098343108638061
"KCNA2"	0.300419262563617	0.0432795698757084
"KCNA3"	0.203871926366361	-0.0482848581877958
"KCNA6"	0.238791690901663	0.0846327600558719
"KCNAB1"	0.269871464145414	0.065900170499023
"KCNAB2"	0.279208566043193	-0.0198680456455797
"KCNAB3"	0.243568346531286	0.0462727063622565
"KCNC1"	0.379878916817379	0.118005397962093
"KCNC2"	0.291558277051399	0.084065242811486
"KCNC3"	0.246551491564153	0.044504214078144
"KCNC4"	0.234777801154219	0.0644943668810503
"KCND2"	0.331045876879628	0.0886379815644892
"KCND3"	0.211456751131441	0.0411856693988555
"KCNH2"	0.227782450030952	-0.0563643353326198
"KCNH3"	0.213675340171543	0.00427349178779089
"KCNJ11"	0.20403824655425	0.0253389123613292
"KCNJ3"	0.288201043466589	0.0389298503432613
"KCNJ9"	0.276766052904529	0.085772067845713
"KCNK9"	0.294361535000314	0.0950489326143244
