"","MEbrown","MEgreenyellow","MEturquoise","MEcyan","MEpurple","MEblue","MEblack","MEyellow","MEgrey60","MEsalmon","MEmagenta","MEpink","MEred","MEgreen","MEtan","MElightcyan","MElightgreen","MEmidnightblue","MEgrey"
"X1108_F_hyp_yes",0.159508478928335,0.103742358951304,0.226872154311653,0.0360378338681605,0.23211607278011,-0.175232908615741,0.0649300349832231,-0.128114835458336,-0.00334833283721685,-0.218754251098665,-0.298085003171648,-0.189108742324467,0.0569551263038801,-0.122244583105837,-0.0567217724281348,0.0443154376274665,-0.123903761189577,-0.201278891797758,-0.151596335076153
"X1051_F_hyp_yes",0.0414282911736995,0.124628558678485,0.190196938703309,-0.0566419153841305,0.0714391709125844,-0.173033382812749,-0.0794239510725842,-0.162705856164875,-0.124221993598459,-0.145600622172966,-0.138146436267188,-0.00124204759093615,0.0961620858423451,-0.0377926402986069,0.0960715717459852,0.0317729594167348,-0.129406013081396,-0.221416530478842,-0.0063731473066695
"X1157_F_hyp_no",-0.0376946560875779,0.438232473645598,0.16889284079004,-0.666583028738382,-0.553941849719325,-0.206729328566577,-0.494869318192002,-0.135903082307816,-0.029796911582741,0.218874658165601,0.27841275617931,0.414197734574483,0.091486196154815,-0.0493503004700454,-0.136270195338439,0.199524528685975,-0.088537146733731,-0.198094199069297,0.701954926146638
"X1175_F_hyp_no",-0.152075533762879,0.0573552225506575,-0.107164400621013,0.194369036870386,0.194297549264348,0.1030530783678,0.0198348083250969,-0.0991395282462866,0.399134658990778,0.347582299605224,-0.00232774699701426,0.00415676097954787,0.099787187256665,0.164766669479577,-0.233020629459856,0.192062089594261,0.0328945246085018,0.274242614110962,-0.213593670136432
"X1174_F_hyp_no",0.162303220349863,-0.106323580284045,-0.132325684438139,0.215439643321111,0.0903986360853905,0.1588709788991,0.319953288444048,0.245780028871728,-0.100179170698466,0.0939266752973663,-0.0924908045727544,-0.23594099084878,-0.2524739716042,-0.134628069092155,-0.234743097263964,-0.0612128117940334,-0.114484883331277,-0.179434645675245,-0.10151444831484
"X1127_M_hyp_yes",0.0464676018432063,0.0244254252508489,-0.15123009704668,-0.267866166505034,-0.431103011967065,0.117321040084568,-0.0788532258441197,0.261964515137763,0.0467961585626475,-0.193290955476195,0.281405695581122,0.121518014766294,-0.250013355308845,-0.107274976038616,0.049328022482889,-0.197469051753385,-0.111778564904461,-0.085983583972383,0.354698116721427
"X1119_M_hyp_yes",-0.198001229071799,0.00115803828067482,0.00412046317237434,-0.0124599097981379,0.0016237878679104,-0.00983671568592283,-0.191328873768284,-0.167536358572024,0.033618258679065,-0.0240383896814795,0.0771562259203632,0.172571406117617,0.192772378432409,0.222205589967963,0.287697836292163,0.100648972440648,-0.0328469986868387,-0.0651650719397962,-0.0650218599744139
"X1081_M_hyp_no",0.0872881085645707,-0.14535522236797,-0.139312146568493,0.10081100680649,0.0177423450951831,0.138374188906398,0.206018812586258,0.231313541116,-0.0959284311372823,-0.0282617371403314,0.0831429672499028,-0.081231630096214,-0.233036227265863,-0.120771466704409,-0.114149180733953,-0.0720075122876745,-0.136500404234509,-0.0447690153205527,0.0323533123585108
"X1132_M_hyp_no",0.0933926452042665,0.103570464978505,0.234163737109485,-0.138091291499771,0.046660881942571,-0.21460099516498,-0.0927892288735792,-0.157290242089134,-0.0580728698444397,-0.000784313502202053,-0.182440133326748,-0.0813645603343318,0.110180100205749,-0.0468063509483563,0.0387762405179194,0.118657736681838,0.388517763466995,0.175079325534229,0.00131806001368528
"X1178_M_hyp_no",-0.0317438393436793,-0.183475813371984,-0.0662640499929797,-0.0291775255590604,-0.0597322248218493,0.0663613209092328,0.0153429715245689,0.100371247396437,0.126101176738472,0.207149822324164,0.0715824473725956,-0.0327433989745979,-0.0544580585420279,0.00346745828537207,-0.146559986619178,-0.0213790821930585,0.112257807025782,0.0121010028527926,0.117445734584949
