"","MEpurple","MEsalmon","MEcyan","MEblue","MEtan","MEyellow","MEgreen","MEgreenyellow","MEbrown","MElightcyan","MEturquoise","MEpink","MEmagenta","MEmidnightblue","MEgrey60","MEblack","MEred","MEgrey"
"X1051_F_liv_yes",0.103766952684165,0.0377354340105832,-0.256092470122018,-0.103100845407715,-0.35548632913769,0.00609271330490788,0.0305989076552309,0.0112056580657092,0.747492010759632,-0.0387728731137447,0.0428867700632351,-0.00981354705799534,-0.090142468368356,0.117783963825356,-0.438930040058411,-0.174984668769116,-0.17776996070155,0.131668685785468
"X1157_F_liv_no",-0.216925778218803,-0.0560737425504967,0.0658385881116129,0.314213772000693,0.260991335272729,0.174628179282482,0.44907244522898,0.190447070435398,-0.199547635026769,-0.0857096070262779,-0.317539154527849,0.194894489563098,-0.176660394044143,-0.0971665480167384,0.240247257430441,-0.165624115138059,0.0490720921705894,-0.381994464483981
"X1175_F_liv_no",-0.0170611884278104,0.115409325625092,0.0256298689926577,0.322746693079887,0.273483385312681,0.335649040561951,0.31329959611788,0.166142143151809,-0.165809762314381,-0.398444141292746,-0.345245309716465,-0.00871303836464924,-0.204467085447236,-0.307608857057804,-0.0457591685781867,-0.272268539953598,0.00557685427601163,-0.000542111341945699
"X1174_F_liv_no",-0.123469652523269,0.00756065083152841,0.149631951001576,0.138935627437867,0.219280156267122,0.0612959536854822,0.116139509263515,0.231887160418409,-0.173391756833529,0.00366481188329639,-0.160556109524034,-0.0602516663983235,-0.0764712943250535,-0.161631256579278,0.151417929547647,0.0291748884934996,0.126379243598945,-0.0987964338427782
"X1127_M_liv_yes",-0.0177263880994609,-0.0237107209141071,0.11292347429482,-0.153591160849999,-0.0749071789365017,-0.147985472953376,-0.0948576955488413,-0.179058809490445,0.0918751581870866,0.155511551360962,0.176001206821611,-0.0683962788941893,-0.066157904488386,0.0742830054317635,0.0355962828862425,0.0496416611398192,-0.111527039715222,-0.0296519397563496
"X1119_M_liv_yes",0.203785559911037,0.131835338990783,0.142132124647587,-0.194820719008705,-0.0319012038679694,-0.0320314967841307,-0.142069600929119,-0.135448526839288,0.137402681459762,-0.0201451820631775,0.174354153646464,-0.101942766343613,-0.0833073536538096,0.001821362320961,0.0594886212508882,0.00225912117198659,-0.110474140738959,0.132481670718277
"X1081_M_liv_no",0.0142727939362375,-0.0603211541979239,0.0775928126169616,-0.145627707317048,-0.0737603833697266,-0.155018563368464,-0.156002358978395,-0.301292453000862,0.0581382059664907,0.102278572514692,0.184201826519513,-0.113537615297901,-0.0378259452005903,0.0346519907761454,0.107246178931206,0.114679964514138,-0.0238913306705081,-0.0252488396611119
"X1132_M_liv_no",-0.571275411687141,-0.526183548532625,0.0618357207696572,0.0269052564084022,0.113896335333355,-0.428633488928318,-0.259636478943308,-0.192933940828146,-0.0392178453830333,0.273944705205097,0.051889336636655,-0.179891232797398,0.198726789066755,0.0190911470098916,0.287774616550192,0.662190473160346,0.680647722026756,-0.452539426332658
"X1178_M_liv_no",-0.233920659650755,0.00181706297640486,0.11273092997314,0.190401436466206,0.197665267586093,0.0825136668416085,0.374128267845677,0.388468750923146,-0.189618077539182,0.0904923394134972,-0.171699969478631,-0.0356026885418538,-0.137022526082071,-0.23371806767414,-0.0237177552415043,-0.158145722809832,-0.0338038009152023,-0.30032310636346
"X1105_M_liv_yes",0.0166566020782914,0.0686484127481865,0.0884397930381253,-0.155608948170222,-0.0799579855021739,-0.0778910732987615,-0.0276259755858554,-0.0235993743056269,0.113776509414141,0.00838094125627339,0.153613282888828,-0.189645754376612,-0.0949750434489914,-0.0816820839709315,-0.0314518155402679,-0.017873323305647,-0.146442234283097,0.0033371921555845
