"","MEmidnightblue","MEgrey60","MEred","MEblue","MEcyan","MElightcyan","MEtan","MEroyalblue","MEsalmon","MEdarkred","MEgreen","MEgreenyellow","MElightgreen","MEmagenta","MEyellow","MEdarkgreen","MEblack","MEturquoise","MEpink","MEpurple","MElightyellow","MEbrown","MEdarkturquoise","MEgrey"
"X1108_F_gi_yes",0.155798634710928,-0.106217364222562,-0.10161832880474,-0.0684868365435622,-0.03101283075397,-0.00478716415133705,0.109720047149613,0.00408891005171208,-0.011146084009367,0.0891679436266385,0.19402374171371,0.100406518055809,-0.1396497028163,-0.0804477664656466,-0.186577499870304,0.108963995352653,-0.0955240298559054,0.0380572418366317,0.21415064076047,0.18888089779679,0.151797328414021,0.0146429862848833,0.00149284771485029,0.21136489720416
"X1051_F_gi_yes",0.19357970720539,-0.186437829645927,-0.0886912439838054,-0.535821864744369,-0.248344528877081,-0.123573151092467,0.0580694447902746,-0.309999817771566,-0.290416641341818,-0.255287251735787,-0.53780780704357,-0.518797047472525,-0.0807756703245907,0.208539831485159,0.00594095613563358,0.470637699384913,0.611164292675788,0.500616712508738,-0.311770859580404,0.0715639951378074,0.203768008857151,0.136411378041284,0.241201642469446,-0.474480820088052
"X1157_F_gi_no",-0.0790344623056289,0.214531155851628,0.38447616292241,0.246796448766492,0.434722750531469,-0.0611732362245166,-0.152655493600206,0.0806753982010954,0.139527542195262,0.142048946328428,-0.178557105628758,0.0834664704673057,0.194618335222407,0.148865827535089,0.318927172612891,0.182814424729469,0.085362880173327,-0.258517758569007,-0.349545088785352,-0.36781808961448,-0.213813469138825,-0.172988417210397,-0.157233782850819,-0.351887757919964
"X1175_F_gi_no",0.0711193266759734,0.332790190413249,0.387247360716665,0.271524776273902,0.177621482681593,-0.0140101123341955,0.0134512730516646,0.0391673641282406,0.293755331862041,-0.13135296587132,0.0514870418505855,0.198365183302396,-0.101920957524177,0.0321107924665928,0.240112394894754,-0.210445752994348,-0.0394044408813476,-0.232133691930852,-0.188373581753533,-0.254048760058989,-0.281091100169797,-0.311707204331868,-0.277473136342999,-0.0709609410932391
"X1174_F_gi_no",0.182839257791588,0.0804951135577246,0.0580230810431864,-0.121652632365164,-0.165458053766648,-0.0411230699166514,0.108853906226046,-0.0523905942572252,0.104123662901828,-0.298641390723824,-0.0357096694927069,-0.0102789968935526,-0.149747550156841,0.084610362743452,0.0538078390689539,-0.059000507605425,0.186420943016239,0.0772239946508735,-0.0822841864729398,-0.0117805684191654,-0.0447869178034267,-0.194685461990797,-0.0849833337332777,-0.0964166676282961
"X1127_M_gi_yes",0.0841655187552708,-0.174998343537073,-0.0958115152256027,-0.0759553250621847,0.183886162431125,-0.0581821690768665,0.0397580856950567,0.0303580148433043,-0.10184631628218,0.376235055638161,-0.0472811152073054,-0.162481501528189,-0.109666293515317,0.00958138434027573,-0.151247168305441,0.30614917251227,-0.0343535015648426,0.0888717405175668,0.217683142376944,0.0672611544870207,0.213336122499123,0.0866607707403009,0.162708380480152,-0.0186867494448937
"X1119_M_gi_yes",-0.238264334559857,-0.126149308309968,-0.386108240661535,-0.491659226946958,-0.565109497741153,-0.0552142593657937,-0.171159338285433,-0.386533649469458,-0.44485183422091,-0.396220713897707,-0.403882467460817,-0.300435176709198,0.171870346506397,0.0914256925503196,-0.0893273720297606,0.246840000431723,0.511634547580351,0.574340859084049,0.0165064367645548,0.113884388396188,0.147820852158709,0.421109591238949,0.376458958410351,-0.0689942831593365
"X1081_M_gi_no",-0.141061344982607,0.0134762542548452,-0.144225722433761,0.0259802823112556,-0.0898227128223256,-0.0411097416320723,-0.157790398682612,-0.112756213717433,-0.0855375872988538,0.0475516467646886,0.131567928218031,0.112495056914418,0.0119989215268699,-0.0388358578818306,-0.029985358859434,-0.131875333496898,-0.114592478194472,0.00220244026736028,0.0852897613469594,-0.0155195247231545,-0.0795949647845549,0.0461162082534046,-0.0941658569504144,0.195862852715365
"X1178_M_gi_no",-0.105452568944762,0.234496177188419,0.153429916201319,0.0676560324289775,-0.0379057075216774,-0.0260969624049257,-0.147531385195111,-0.134330697147395,0.00652666463552957,-0.189656583279408,0.0189153893911674,0.271454309054905,0.139346687534238,0.0504944736880929,0.193688769181169,-0.231385178147128,-0.0334098956952209,-0.137784861566702,-0.0406871318258819,-0.142526132425736,-0.0527671173686732,0.0950860311611547,-0.260264315004318,0.0537352330699538
"X1105_M_gi_yes",0.175260237225889,-0.128049889691475,-0.0293168787072449,0.0763646336610923,0.0787471691874777,0.00548399626849577,0.157827132935156,0.134823580028645,0.10238971300058,0.111988907824198,0.137309417371751,0.026201391877916,-0.177559347466857,-0.0848328948221188,-0.16662771377817,-0.0259526852043708,-0.211230319727946,-0.113458692542983,0.151864536861532,0.0898555441858983,0.0600997519724967,0.0956830358097376,-0.0133059327065428,0.114608825149564
