"","kMEpurple","kMEsalmon","kMEcyan","kMEblue","kMEtan","kMEyellow","kMEgreen","kMEgreenyellow","kMEbrown","kMElightcyan","kMEturquoise","kMEpink","kMEmagenta","kMEmidnightblue","kMEgrey60","kMEblack","kMEred","kMEgrey"
"Gene.21",-0.0247535858077984,0.448448888488558,0.363986081713312,0.233107346757861,0.348175650469946,0.424505688989562,0.545986674097879,0.873521892542744,-0.165871293739718,-0.285541478213541,-0.315217864554307,-0.142407943479809,-0.501079754583192,-0.534829663699808,-0.18376035637989,-0.43374643906109,-0.153403347201373,-0.00204516904995022
"Gene.22",0.393360810805845,-0.0634370345157041,-0.170624843970652,-0.720520648182605,-0.690697408338378,-0.519860891667679,-0.826657417930292,-0.49052698104931,0.516327858007328,0.561324216358524,0.724842071357133,-0.0377524238449748,0.291350037199001,0.610351242545324,-0.251604471162448,0.413711812015154,-0.153016954072274,0.448653066506808
"Gene.23",0.469232779353673,0.197490283310758,0.132653888331738,-0.895427913892831,-0.699880844632207,-0.503131165389249,-0.728148161127971,-0.334280780481533,0.597246663799024,0.619301946132566,0.879069102844728,-0.415463502188828,-0.0302784675897131,0.305164012180915,-0.389841187022017,0.278285855517362,-0.406194540988398,0.416827052038322
"Gene.24",0.676447404552667,0.261491422400013,-0.16719663748257,-0.719272220070675,-0.723649169168159,-0.266509285521355,-0.653514001066502,-0.330345769627799,0.49309696116751,0.508697415533225,0.696591809084539,-0.0141356437285043,0.199381002361566,0.530552523588947,-0.414721166439741,0.0611512447325992,-0.530855265456614,0.643208376586343
"Gene.25",0.341973400715828,0.633964299439732,0.26068170991015,0.0140830413940383,0.0665778265532807,0.440513174949202,0.429945523272354,0.446394696347302,0.0134370144761553,0.0074970091355004,-0.0377785551747133,-0.250946603339384,-0.409382606784795,-0.437937000866761,-0.32646728686881,-0.593548297274052,-0.611666943497358,0.180162134205003
"Gene.26",-0.217238628509021,0.393551760215366,0.516753592052074,0.482476468481626,0.711853912896623,0.517748088603051,0.805328900302265,0.85906360026216,-0.490150576895306,-0.342512584312358,-0.520602048104105,-0.190325276284998,-0.5241995473209,-0.767676487158009,0.111526357049758,-0.480541752986276,-0.0712902667167756,-0.313483002122397
"Gene.27",0.116109369375757,0.142465120754201,0.0454762557044874,-0.182756363560913,-0.179447173750635,-0.0220405602573616,-0.0803624181900101,-0.0161905248539544,0.440406697924884,-0.13746899461148,0.139430853498337,-0.353141085022052,-0.126378697298346,-0.181739085671383,-0.313401585072549,-0.0701796599852,-0.0991720009997196,0.163756531098349
"Gene.28",0.142904668582742,0.263199385618017,0.507451079371461,-0.715357480741215,-0.281729189962798,-0.436442485408902,-0.359924055244401,0.0950150433341525,0.388035039709589,0.498621811723134,0.706069511371503,-0.600346218851334,-0.280239699499297,-0.105243821762591,-0.140819926198177,0.23917740424224,-0.268107774833404,0.0562071359553479
"Gene.29",0.239682162717369,0.218897470360957,0.258049332564078,-0.694427299099847,-0.497487254135211,-0.383680217788306,-0.33297055283431,0.000861088204737218,0.516382132749246,0.448721221107304,0.676171178008131,-0.494950103402314,-0.261108229477564,0.0293350376020021,-0.344526604854198,0.143330784053992,-0.344210795927089,0.106254978653676
"Gene.30",-0.0835674294147987,-0.292678509633943,-0.460341635314548,0.235565354884559,-0.0888309081311113,0.0129054832843443,-0.04483223280084,-0.156472942346423,-0.107085133771717,-0.031423920688832,-0.206518920227755,0.502906880149836,0.476015347323763,0.374757729159684,0.143867798674256,0.0637813995160503,0.203391627083,0.0130077416005767
"Gene.31",0.296571170738774,0.100442445489994,-0.102252085223614,-0.346477110870447,-0.404196859872292,-0.147915827535595,-0.307282591247857,-0.0859987231452813,0.12980367821758,0.667055540297462,0.374025117910974,0.0401254223267119,0.210947491335691,0.334453594305608,-0.221339256511974,0.0748258940217598,-0.285413346993497,0.22696920263145
"Gene.32",0.06156818131513,0.298862674239654,0.706714164912226,-0.742703192004529,-0.234476307544808,-0.444094908421019,-0.175075162729858,0.167012673680936,0.349257769369608,0.578849814897881,0.733405040443155,-0.827014589033947,-0.567137259287884,-0.326148222243117,-0.171258684105916,0.137248419140013,-0.374632988773948,-0.159636344790382
"Gene.33",0.0114835335962465,-0.347143640910297,-0.470631492105347,0.0472194862549166,-0.118154724304017,-0.176530209198532,-0.353710748539352,-0.443934686570343,-0.112371848715717,0.0466063866377719,0.0122297684905801,0.36227963812848,0.698926764635085,0.464845664383095,0.260814307432458,0.300865277395481,0.254613545496903,0.101983721138411
"Gene.34",0.00059030626460542,0.0542505480076953,0.342082223086349,-0.295537577940595,0.0499070411582311,-0.252266231898099,-0.276343300456978,-0.0136002265922725,-0.169700170517053,0.452578654256985,0.316489689880809,-0.255301968005616,0.0282793785058935,-0.0334364837743267,0.188905624460214,0.291552868871964,0.020877247696887,-0.040276874382696
"Gene.35",0.287017755008474,0.424110197238309,0.194922707865842,-0.0901179626487108,0.0488930154869745,0.228560904117353,0.234764611697177,0.436201218136088,-0.0651000629959946,0.0720472447155732,0.072617653732588,0.00164766389365489,-0.145262546696912,-0.102416051564626,-0.000474632197859172,-0.329161672347606,-0.42921516307993,0.17642991311149
"Gene.36",0.44917617801235,0.61628893272538,0.0967019990431721,-0.125183057327268,-0.170143007048314,0.375358673939382,0.275884171366223,0.287325288517858,0.570124066658573,-0.249084394801217,0.0307561011531947,-0.21815189781259,-0.478169209688294,-0.276595347914889,-0.529360245449384,-0.59484859966597,-0.606127534397171,0.351649509759808
"Gene.37",0.228021177062663,-0.0275769823350954,-0.369482472556737,0.0936773249179316,-0.094284811954707,0.113167836575848,-0.321797955996145,-0.257214472522024,-0.0828293963708104,-0.171211253570378,-0.100641674989973,0.302384815644109,0.404054343811712,0.286173243779067,-0.0289720909176486,0.127507069998599,0.199284221483533,0.376892514314222
"Gene.38",0.237276330313134,0.263108044718766,0.377284894202987,-0.659625660342619,-0.378254060453497,-0.339293202363583,-0.33653262193706,0.0515716853124811,0.285763040018003,0.679733720419027,0.680450868606229,-0.556901545531586,-0.233532441486541,-0.0770769634141565,-0.280688227589023,0.132110640942723,-0.359371949974711,0.121421018964876
"Gene.39",0.237103958485151,-0.113686506922766,-0.495718973223247,0.111920330124008,-0.224790617136195,0.113554472384277,-0.236549046325873,-0.234696148241568,0.106263252916716,0.0581408410349492,-0.0731244362634289,0.448266179955038,0.539651845467669,0.449712239844345,-0.121241099123785,0.00334875339869041,0.000231481848195077,0.419207878063558
