"","MEpink","MEmidnightblue","MEpurple","MEcyan","MEgrey60","MElightgreen","MEdarkgrey","MEtan","MEdarkred","MEblue","MEdarkgreen","MElightyellow","MEblack","MEturquoise","MElightcyan","MEdarkturquoise","MEorange","MEgreen","MEroyalblue","MEgreenyellow","MEmagenta","MEred","MEyellow","MEbrown","MEsalmon"
"1109_F_kid_no",0.122549461907915,0.132743615219576,0.180889767394484,0.0676263592418732,-0.0589820156469829,0.0895632389329121,-0.0455674102650807,-0.0185423814758016,-0.0505690733506992,-0.0389211259578088,-0.0319617965419923,0.073493363322378,0.0666533441203119,-0.037151380968611,0.0293604746951218,-0.0199106121885268,0.105592561744409,0.0241713455477961,-0.0631822101701559,-0.0843672936374273,-0.058717771326025,-0.119742323519419,0.0930539585174623,-0.049232809627466,-0.00371155549197716
"1109_F_liv_no",-0.109087553954417,0.00326073623007246,-0.00715309020444667,0.0873509950285125,0.0852263915084905,-0.0711804360853964,-0.0619722676423061,-0.00736571566615809,0.0208701498477363,-0.0644103413262789,0.0166993541540198,0.00579312956751693,0.103562282640246,0.152741963389492,0.0724307151652941,0.118010891267856,0.0878551070613535,-0.145592526633347,-0.114187548334462,-0.00154861131173691,-0.0364614586105146,0.0789088378174059,-0.0815646103947182,-0.065984693663258,0.0273994289037468
"1109_F_lu_no",-0.0474838064531119,-0.147017551092765,-0.0429875195021889,-0.0833550137274872,-0.0337825555445297,-0.02553697153734,-0.00839691654085129,0.0547154031285694,-0.116727177363198,-0.00104855027988747,-0.0318724315574897,-0.0642520418529353,0.0247788280208422,-0.0107908487763712,0.0282750790189726,-0.0706934243609129,-0.1151162741991,0.0504614040545015,0.0111751308654995,0.126893379666897,0.122255537449062,0.0732158977192453,0.100094371112371,0.136339127431847,0.144725858598498
"1164_F_gi_no",0.0302252835338165,0.0051738292612722,-0.0305017825249556,-0.094920101730939,-0.0767684160212682,-0.0634911520670962,-0.0379482883281519,-0.102094143247563,0.0652664410478707,0.123930437445989,0.111944668254346,0.0723475328569604,-0.0706253077156233,-0.0409065641261318,0.0321050607475233,0.0137692935710803,0.0113113700982225,0.0639345443825218,0.0490021177054944,-0.0216292451220742,0.0289363074340436,0.0242606041222238,-0.025846567918475,-0.0336393884765285,-0.0666754401664906
"1164_F_hyp_no",0.0215109735432147,0.0303043369036618,-0.034343875937048,0.048191418735088,0.0854398636077641,0.108671976663477,0.137060347422771,0.0874841257060972,0.0229720563508779,-0.0492040935724072,-0.0746133150268383,-0.092071544312759,-0.0573929084686773,-0.0357825776003815,-0.136033618400895,-0.0754049583195302,-0.0349033714075552,0.0192393542850273,0.084216075922246,-0.100930780179928,-0.077858877460713,-0.0806274957210735,-0.0345242256393403,0.026573384112879,-0.0600155154514043
"1164_F_kid_no",0.113891378522966,0.104504118192498,0.167946306929064,0.0558464167917774,-0.0681684505829031,0.0741908793271858,-0.0507741795151713,-0.0215421002890623,-0.0599489763388711,-0.0496488623146689,-0.0294815413777036,0.0578622936114291,0.0609506856916966,-0.0440734922887232,0.0266966549717098,-0.0252825647565402,0.103356439600764,0.0180732875311475,-0.0726615674835922,-0.0321889017065292,-0.0666623189528247,-0.13659843777413,0.0950948644358129,-0.0572149076144049,-0.0059163467995709
"1164_F_liv_no",-0.122098017862734,0.0469529950279988,-0.0130480449473591,0.0885450218645718,0.0840295228432898,-0.0799281319363818,-0.0712951237568844,-0.0115720377142022,0.0166782532079589,-0.0764666748617963,0.0576646801645258,0.00320317930304793,0.106199409545334,0.156655467000913,0.0791472815128314,0.129938630321114,0.121065042399414,-0.156485567123024,-0.133171154209917,-0.0437768447891365,-0.067941388748118,0.0357589655308905,-0.0892468922778618,-0.0850976759958818,0.0194363225725508
"1164_F_lu_no",-0.0446182641442902,-0.153577679524321,-0.0440500440121571,-0.0898186430186205,-0.0404452085915095,-0.0296095766814969,-0.0119039998794062,0.0517760736058456,-0.117958769454949,0.00139223869574052,-0.0376355073317816,-0.0616415941086887,0.0351729052760459,-0.0186716536667644,0.0384170710843451,-0.0690695413959711,-0.112214577829478,0.062343800288231,0.00976222212356869,0.10160451074094,0.127600546198476,0.0798221019321269,0.104535482487695,0.137483471289158,0.139047422392322
"1010_F_gi_yes",0.0210706052689312,0.0268670270123059,-0.0411037165427615,-0.104246075246387,-0.107521849632705,-0.0890991495446688,-0.0525759528224605,-0.145261596320836,0.121988900779994,0.134213073755643,0.142098957063456,0.105990190740695,-0.103009856558546,-0.0596582001313546,0.0239173375471249,0.0634910534233289,0.0349628116182339,0.0366073541446333,0.0401217350769538,-0.0729201094839118,0.0374510507582182,0.038488050658505,-0.0727964397790694,-0.0655060716047558,-0.107948660833619
"1010_F_hyp_yes",-0.00279799327378243,0.00230517902371121,-0.0544855286804995,0.0384476959966703,0.0812716926652928,0.0857083101380299,0.130984505869607,0.0924816864094421,0.00703547568084808,-0.0579940211238564,-0.0924161991001254,-0.108012392037041,-0.0918696961972378,-0.0576012376867743,-0.159209835901251,-0.0918699796984501,-0.0743223681268079,0.0301509822455118,0.0870242040231736,-0.0105621251714076,-0.0913449854649424,-0.0879282579270673,-0.0608701052362727,0.009480534979522,-0.079892541950472
