"","kMEblack","kMEgreen","kMEpurple","kMEgreenyellow","kMEmagenta","kMEtan","kMEblue","kMEred","kMEyellow","kMEpink","kMEbrown","kMEturquoise"
"ABCC10",-0.00788278414354186,0.248272327343344,0.246305685490262,0.414510239580578,0.180608544627983,0.039054490234397,-0.211959451482022,0.0991375929816026,0.198916432409134,0.102247368855369,-0.28108933984474,-0.525725356165696
"ABCC2",0.0159733823766574,0.339681817363667,0.309120341666206,0.110757964802687,-0.184841319547172,-0.0517397737430396,0.00758228826090826,0.104255457931174,0.179084120873485,-0.144038782497729,-0.137582563823305,-0.150286408004607
"ABCC3",0.280151433355516,-0.0647852918656195,-0.179827091645998,0.166010546735173,-0.00152039630916985,-0.127083919060356,0.0243813699715306,0.1808224164798,0.262719529348391,0.0968192217535696,-0.242095801328875,-0.30087913390187
"ABCC4",-0.0227799820560777,0.412390147115861,0.453666017847207,0.40707806517155,0.551715521994042,0.238592340140027,-0.378013948972738,-0.0762923407488063,-0.00761430965809589,0.405930952983182,-0.420272027167351,-0.296136372861203
"ABCC5",0.236450827143082,0.141708909196891,0.519426702925845,0.835748974306497,0.476901642202583,0.562564950029695,-0.778598309756135,-0.35705513104693,-0.154954995508179,-0.0626250364156652,-0.753152710742937,-0.550423547616268
"ABCC6",-0.191634067808987,-0.000760021520413314,-0.148369780899423,-0.149663938848814,-0.260767915956333,-0.252785437055931,0.269648429148094,0.239322939775195,0.241170468587857,-0.105326178607259,0.218954616468635,-0.116591313661044
"ABCC8",0.431575740407655,0.0537903481209232,-0.0398300963095115,0.461239755578671,-0.0946134913534889,-0.0320106177347345,-0.184451283531687,0.182649519519054,0.330649910415106,-0.300246234491135,-0.582155289402911,-0.522406641379228
"ABCC9",0.290517147294232,0.248775348606744,0.483885802073226,0.734787275456467,0.655774364598461,0.453351924090078,-0.657135803293151,-0.249853916776594,-0.0711683978132556,0.254152295357804,-0.715327737701824,-0.465337343175443
"ABCD1",0.081787626627256,0.324896778859049,-0.101099053133603,0.243421327266003,-0.344683422360937,-0.446313386843647,0.189914698955382,0.614597260422457,0.723197599138457,-0.254844326417599,-0.463573187696864,-0.640441010510069
"ABCD3",-0.0525848490440902,0.389249183982598,-0.119385295580849,-0.282296753218232,0.249499777054601,-0.495199848460834,0.43354995745286,0.532886420720375,0.426939261142316,0.788155683594706,0.079181411635665,-0.144836129569266
"ABCD4",-0.214916799962924,0.174315125260839,-0.27660291388154,-0.360019023685706,-0.38727639393941,-0.598207510530481,0.583334806146867,0.594624503154705,0.517901710442752,-0.0257316281907466,0.226267829291187,-0.139875136034874
"ABCE1",-0.358540068550969,-0.168617605701006,-0.530591613053792,-0.886651240327109,-0.540288401569368,-0.620078091387854,0.836588897762868,0.411657913832595,0.179011991148147,0.0352636790558528,0.855332826359528,0.465234383504219
"ABCF1",0.326524966221219,-0.295509796631092,-0.448703870455553,0.154393762205936,-0.204253174984565,-0.128716266964912,0.0386290602116135,0.187926863368476,0.280785870782516,-0.25482405642274,-0.3316714906841,-0.356353917751433
"ABCF2",0.316918819551186,-0.0125564136524184,0.329933697664042,0.752112585487701,0.325527481826677,0.522759261963133,-0.679098797427715,-0.34626134824745,-0.128993129696587,-0.199551867112173,-0.680536454829464,-0.509581005284094
"ABCF3",0.214128778133489,-0.582272688428191,-0.357316790636879,-0.103257843385026,-0.0772283765617754,0.238150477920772,-0.0845507343593257,-0.328971637907526,-0.34528664310387,-0.25059480881721,0.143903202932805,0.221586588524668
"ABCG1",0.199408887122019,-0.253552665928247,0.257765008644891,0.534535706929207,0.0102270758143195,0.625810296614237,-0.62467190029091,-0.570060256135217,-0.381861936504841,-0.648334800750372,-0.360485773031473,-0.0530662505902682
"ABCG2",-0.110101555264951,-0.0959274261430261,-0.549236289343261,-0.851064732362788,-0.21783360664062,-0.605097193204339,0.788477885931755,0.434292878750364,0.185824167058505,0.431493236342281,0.687600476889441,0.456890476894623
"ABCG3",0.0352377195020578,0.367595169242709,0.0578132419787096,-0.0753239464978143,-0.0350776843150357,-0.349680267455348,0.252285708707675,0.41562557152285,0.369504636486493,0.188018932511069,-0.0253971683230041,-0.207929445972719
"ABHD1",0.111998761705377,0.100053604779051,-0.168633568072991,-0.270569409087901,0.46117055432112,-0.254916319555087,0.25745804444072,0.243744905100831,0.114146258275029,0.939639031347681,0.178620405366471,-0.00269220625003377
"ABHD10",-0.0178173179773901,-0.172591987919499,-0.450359037997196,-0.769863417267921,-0.0219483644460925,-0.39654042217967,0.593249819167029,0.217957581618969,-0.0400104386125944,0.513466835780877,0.720231100153218,0.505910602716923
"ABHD11",-0.0843810703309019,-0.256729822098518,-0.471801109768305,-0.1922776141089,-0.209444319794284,-0.246971953919344,0.258997525562266,0.243075476619815,0.182351050562115,-0.101616273951815,0.0508102333048689,-0.157850418794886
"ABHD12",0.176196509840614,-0.447961446720878,-0.407028291201601,-0.41917552030415,-0.122979246651006,-0.106610210394244,0.275901618184096,-0.0622741037005495,-0.169529011441645,0.112564028392113,0.522179382118264,0.343510256042964
"ABHD12B",0.176233161426704,-0.410757270154823,-0.366885293955409,-0.288703992509974,-0.192864358915079,-0.0512705465247984,0.17830463279343,-0.0865679024222555,-0.154442147632017,-0.174432233468806,0.337575597644861,0.319906218898048
"ABHD13",-0.273298098727518,-0.180954321767053,0.0408007285831998,-0.185480589884818,-0.134804117358513,0.163180235589219,0.0123398354370245,-0.263165867562072,-0.297559737538383,-0.188579276880231,0.251307500937755,0.396685150674081
"ABHD14A",-0.194355890527792,-0.000717854913735484,-0.350665233630233,-0.368306656242419,-0.428371297771207,-0.542378122597685,0.546791963828488,0.494711369981169,0.440352466503196,0.00565965445056206,0.283760476970712,-0.0563676221371685
"ABHD14B",-0.401227215544775,-0.0430416610330222,-0.351144975744099,-0.560811314805607,-0.249466341723999,-0.46566537823649,0.581299626452638,0.374030558849736,0.212996798555708,0.164323161151243,0.520397478719314,0.191298342769911
"ABHD16A",-0.0506735837237325,-0.338691516096872,-0.465528586902116,-0.413079744981797,-0.503536216436111,-0.363799939876083,0.449348273092567,0.238180169536009,0.146495433886362,-0.270690791140731,0.494022743460547,0.0480615253047821
"ABHD16B",-0.0956770046170647,0.486712285785184,0.581956401662492,0.327370786649835,0.0907003416629015,0.135135434442779,-0.243997269006512,-0.0211320778462897,0.068133365178146,-0.0629955782017508,-0.176829236002111,-0.278171966363489
"ABHD17A",-0.222900201871624,-0.186231425177126,-0.466742642400287,-0.614878740809197,-0.557422478274315,-0.550538435369053,0.66772197844881,0.39584943350486,0.249777277165777,-0.0422499739628078,0.678349287209394,0.131587480564688
"ABHD17B",0.00153456733085328,-0.525428563177211,-0.0573796912574515,-0.145421910794418,0.364530973318007,0.560449920657084,-0.287879853942167,-0.691434254752667,-0.750249510899408,0.121977310797887,0.326514363607117,0.645691928817426
"ABHD17C",-0.0172577487681119,-0.147387323585907,-0.377017586219984,-0.243011311562232,-0.626614469306697,-0.334915072143324,0.402558644950762,0.282645469566366,0.314829467597482,-0.559596192424057,0.118576690725493,0.0893134922968682
"ABHD18",-0.154786882860379,0.464266366032473,0.255959215257184,0.0732607886614831,0.248838682512857,-0.124208825154427,0.019619208296444,0.219077812966978,0.210758251123649,0.356597302571152,-0.229343615041935,-0.105548260485235
"ABHD2",-0.129097276300967,0.676955914869296,0.509907313890345,0.598248338917992,-0.0154800749962139,-0.0702840715786218,-0.218209915451842,0.322314550347202,0.515247089219422,-0.18680093973692,-0.637818741921601,-0.764982025654635
"ABHD3",-0.282459567791471,0.215624733001304,-0.360308961470746,-0.559323245745388,-0.661968428042878,-0.863259396575857,0.821932733231496,0.787224129840807,0.670547022203359,-0.0223934874881861,0.362233896431037,-0.0846260612580641
"ABHD4",0.0129157223536121,-0.501313888631825,-0.033024837614556,-0.0408221651746445,0.364218599991458,0.605429351305434,-0.374575187207888,-0.705132489260549,-0.740049164601897,0.0333339189658692,0.145372349360574,0.568770075216323
"ABHD5",0.224148251172306,-0.169028228645141,0.0757535874676581,0.00591654325930054,0.286694993063121,0.273525410008439,-0.168376577196222,-0.325585008459079,-0.318849320508492,0.284608056146921,0.0991529665269573,0.187211226677172
"ABHD6",-0.409931615252626,0.237428239567646,-0.124465944605586,-0.5072991454381,-0.217660901413947,-0.451479168189343,0.535764793941124,0.394496903638764,0.26133779082391,0.193538492354246,0.331259423724986,0.231773298311494
"ABHD8",0.00527139517101453,-0.459004509002341,-0.352601141603759,-0.0658129152649068,-0.075643914157022,0.0961786878056546,-0.00894617010735725,-0.152680219056602,-0.13853968453256,-0.199532569211819,0.111793632219336,0.0477343040427546
"ABI1",0.385888203692965,-0.17397092966338,0.0656259754502814,0.518451433737615,0.205877144119918,0.4569859434167,-0.52658138883714,-0.348902461695227,-0.180792398922609,-0.310243846944415,-0.610207283535516,-0.14690390492076
"ABI2",0.200685218556244,0.567554762113772,0.584423366712078,0.63319112026065,0.130714658016035,0.119308243207426,-0.351242272719246,0.0741876214234134,0.29454858951134,-0.0918578456102882,-0.610741161890433,-0.536609075360937
"ABI3",0.536153123814167,-0.278038972949569,0.184112598315928,0.481360297182374,0.431529021905777,0.642023079734644,-0.654335084615672,-0.599263154629799,-0.468958104768633,-0.0635888121140063,-0.3468841217273,-0.0280636138731034
"ABI3BP",-0.151945045577324,0.515584478145755,0.102557735263832,0.232310055366495,-0.326480446967225,-0.468350573240892,0.205218047141271,0.628723918096222,0.733020316913144,-0.216230981930295,-0.41202201063526,-0.624828672298347
"ABITRAM",0.211366885292257,0.425445543354181,0.450422836099551,0.483929588181297,0.24489184594037,0.149177133571602,-0.302490387188227,0.018909423980121,0.17689781081477,0.0989668513101727,-0.543936930594796,-0.358215405276356
"ABL1",0.199587128480018,0.076881963632812,0.285511854805921,0.675180278506853,-0.143728222894971,0.206081145348498,-0.449375461858021,-0.0673236414012916,0.157961361222438,-0.53520825588351,-0.645798568013503,-0.557285590776769
"ABL2",0.082416355567042,0.552895384922967,0.864836500095322,0.725241765917633,0.366362828670278,0.430977443067798,-0.627891511310354,-0.236933720698004,-0.0479088075965352,-0.0621129586640254,-0.553710841726957,-0.461058819940282
"ABLIM1",0.150877943712129,0.534176764374574,0.757275972743157,0.90240755127917,0.409435006447441,0.420355731140021,-0.708445757179347,-0.164753861143212,0.0778542442084506,-0.0897858868679799,-0.828662224094034,-0.651619360892979
"ABLIM2",-0.212233494549444,0.213150913309801,0.178741835829807,-0.105581532114612,0.0326695370143358,-0.1358065918683,0.109390270621435,0.140512972611133,0.0613070529890704,0.175107322190865,0.227335543464229,-0.05193266063483
"ABLIM3",-0.0340468147492016,0.180672984712328,-0.362516386842508,-0.22383082000758,-0.742710288070555,-0.733083004248805,0.626706652108968,0.740099928769206,0.776831464382397,-0.31109747331165,-0.00353298490014458,-0.332328210067962
"ABO",-0.162181548557699,0.0456677024379285,-0.51314873312598,-0.382388792322411,-0.690137436322489,-0.752355653286154,0.702044913993824,0.724910998914219,0.689526523061164,-0.21027533383065,0.109821553089264,-0.150670977615427
"ABO2",-0.0847490106476634,0.291319404637415,-0.235006095561448,-0.147928157057105,-0.666114117114941,-0.706641004003334,0.547317449553424,0.759617484463999,0.767194717666984,-0.335097200436717,-0.0761206583125003,-0.454843120827908
"ABR",0.0942591064941445,0.493065809320995,0.255714313737768,0.557250006464721,-0.088102459045647,-0.183491352135194,-0.122592660756828,0.400239362220875,0.624852720552014,-0.14333304204347,-0.724440294923961,-0.783523469868059
"ABRAXAS1",0.265564516159433,-0.337003913375621,0.147709222833651,-0.034503196220992,0.340795531718894,0.55525223521407,-0.347557884328176,-0.648837633732915,-0.68176277986165,0.0830865184050147,0.207710800648864,0.573693229379451
